Sentimen;stemming
Positif;['keraton', 'awat', 'rekomend', 'edukasi', 'anak', 'sejarah', 'suka', 'kolam', 'mandi', 'putri', 'situ', 'ikan', 'cantik']
Positif;['tempat', 'bagus', 'bersih', 'sedia', 'cuci', 'tangan', 'wajib', 'pakai', 'masker', 'tour', 'guide', 'ramah', 'sabar', 'cocok', 'nikmat', 'sejarah']
Netral;['letak', 'kota', 'harga', 'masuk', 'museum', 'ribu', 'fotofoto', 'puas', 'labang', 'mesem', 'antar', 'tamu', 'diri']
Positif;['museum', 'lengkap', 'tinggal', 'keraton', 'sumenep']
Netral;['jaga', 'waris', 'budaya', 'kelestarianya']
Netral;['sejarah', 'adab', 'masyarakat', 'sumenep', 'madura']
Netral;['bu', 'waru', 'mampir', 'masjid', 'agung', 'sumenep']
Positif;['rindang', 'tenang']
Positif;['pusat', 'kota', 'sumenep', 'tiket', 'masuk', 'jangkau', 'kereta', 'kuda', 'tinggal', 'jaman', 'keraton', 'luas', 'kolam', 'istimewa']
Positif;['mantul', 'waris', 'sejarah', 'patut', 'lestari']
Positif;['museum', 'barang', 'banget', 'kemas', 'tarik', 'kerja', 'sekolah', 'sumenep', 'siswa', 'wajib', 'museum', 'pasu', 'museum', 'kes', 'pas', 'pas']
Positif;['bagus', 'sayang', 'kunjung', 'tutup', 'demi']
Positif;['bersih']
Positif;['senang', 'kagum', 'sejarah', 'kraton', 'sumenep', 'lestari', 'unk', 'anak', 'cucu', 'bangsa', 'indonesia']
Netral;['kenal', 'koleksi', 'tinggal', 'sejarah', 'keraton', 'sumenep', 'al', 'kereta', 'mushaf', 'al', 'quran', 'dll']
Positif;['pelihara', 'tingkat', 'tinggal', 'aset', 'wisata', 'wisatawan', 'negeri']
Positif;['yogya', 'madura', 'wisata', 'budaya', 'alam', 'wisata', 'kuliner', 'sumenep', 'kerren']
Positif;['museum', 'keraton', 'sumenep', 'tuju', 'wisata', 'tarik', 'kota', 'sumenep', 'lokasi', 'parkir', 'luas', 'mudah', 'pandu', 'wisata', 'senang']
Positif;['asri', 'tenang', 'jaga', 'ramah']
Positif;['menu', 'makan', 'sngat', 'enak', 'rekomended', 'banget', 'pokok', 'mie', 'goreng', 'nagih']
Positif;['sejarah', 'bagus', 'patut', 'kunjung', 'generasi', 'terus', 'bangsa']
Positif;['sngat', 'kental', 'sejarah']
Positif;['bagus', 'heritage', 'langka']
Positif;['tempam', 'cocok', 'tahu', 'budaya', 'sumenep']
Positif;['sejarah', 'tinggal', 'leluhur', 'jaga']
Positif;['istana', 'raja', 'raja', 'menep', 'lestari', 'wisata', 'patut', 'kunjung']
Negatif;['sayang', 'dengar', 'even', 'iconik', 'angkat', 'potensi', 'wisata', 'keraton', 'sumenep']
Positif;['sejarah', 'budaya']
Positif;['tinggal', 'raja', 'sumenep', 'agam', 'pusaka', 'tinggal', 'raja', 'raja', 'sumenep']
Netral;['malam', 'duduk', 'leseh', 'museum', 'ngopi']
Positif;['kenal', 'sejarah', 'sumenep']
Netral;['pkbm', 'al', 'jakfari', 'lembaga', 'didik', 'sekolah']
Positif;['senang']
Positif;['yuk', 'libur', 'sumenep', 'senang']
Netral;['koleksi', 'replika']
Netral;['tutup']
Positif;['unik']
Positif;['simpan', 'sejarah', 'rakyat', 'sumenep']
Positif;['bersih', 'aman', 'rapi']
Positif;['musium', 'jaga', 'asri']
Positif;['jejak', 'sejarah', 'lestari']
Positif;['sejarah', 'kabupaten', 'sumenep']
Positif;['penuh', 'sejarah']
Positif;['sejarah', 'merdeka', 'ru']
Netral;['isi', 'peminggalan', 'sejarah', 'keraton', 'sumenep']
Positif;['bersih']
Positif;['adem']
Positif;['bagus', 'banget']
Positif;['wisata', 'sejarah']
Positif;['penuh', 'sejarah']
Positif;['bagus', 'kenal', 'sejarah', 'sumenep']
Positif;['tinggal', 'sejarah']
Netral;['tugas', 'ramahramah']
Positif;['tempat', 'mudah', 'jangkau']
Positif;['fisit', 'representatif']
Positif;['kenang']
Negatif;['awat']
Positif;['bantu']
Positif;['bagus']
Positif;['alami', 'asri']
Positif;['bagus']
Positif;['gratis', 'masuk']
Positif;['mantab']
Positif;['mantab']
Negatif;['tutup']
Positif;['keren']
Positif;['bagus']
Positif;['bagus']
Positif;['bagus']
Positif;['bagus']
Positif;['klasik']
Positif;['wow']
Positif;['kesini']
Positif;['bagus', 'rekomendasi', 'ora']
Netral;['keraton', 'sumenep', 'jadi', 'museum']
Positif;['budaya', 'bangsa', 'indah', 'madura']
Positif;['bukti', 'sejarah']
Netral;['kesana', 'jam', 'gerbang', 'tutup', 'umum', 'jam', 'buka']
Positif;['bia']
Netral;['be']
Positif;['ok']
Positif;['ok']
Positif;['bagus']
Positif;['sejarah']
Positif;['baik']
Positif;['sejarah', 'simpan', 'benda', 'tinggal', 'raja', 'sumenep', 'suasana', 'tempat', 'sejuk', 'adem', 'siang', 'kerasan', 'keraton']
Positif;['guidenya', 'hati', 'sabar']
Positif;['muas', 'pandu', 'wisata']
Positif;['bagus']
Positif;['senang', 'kenal', 'sejarah']
Positif;['jaga']
Positif;['rumah', 'surga']
Positif;['tamansari', 'keraton', 'sumenep']
Positif;['keris', 'nilai']
Positif;['bagus']
Positif;['satusatunya', 'keraton', 'sumenep', 'madura', 'keraton', 'benarbenar', 'awat', 'bangun', 'kokoh', 'objek', 'wisata', 'kunjung', 'warga']
Positif;['satusatunya', 'keraton', 'jawa', 'timur', 'utuh', 'lihat', 'silsilah', 'rajaraja', 'sumenep', 'barang', 'tinggal', 'raja', 'alquran', 'tulis', 'tangan', 'arca', 'tinggal', 'islam', 'keraton', 'tutup', 'taman', 'sari']
Positif;['sejarah', 'jejak', 'keraton', 'koleksi', 'raja', 'jaman', 'museum', 'awat', 'bersih', 'sedia', 'guide', 'khusus', 'museum']
Positif;['museum', 'keraton', 'sumenep', 'asri', 'suasana', 'ubah', 'barang', 'museum', 'jaga', 'bersih', 'museum', 'cocok', 'recomended', 'latar', 'vintage', 'fotografi']
Positif;['sejarah', 'mana', 'nikmat', 'tinggal', 'raja', 'sumenep', 'tempo']
Positif;['simpan', 'sejarah', 'sumenep', 'bangun', 'bangun', 'monumental', 'kenal', 'negeri']
Positif;['keraton', 'sumenep', 'simpan', 'sejarah', 'semenjak', 'aria', 'wiraraja', 'bupati', 'sumenep', 'wajib', 'kunjung', 'sumenep']
Netral;['raja', 'sumenep', 'peran', 'diri', 'raja', 'majapahit']
Positif;['sejarah', 'kraton', 'sumenep', 'tinggal', 'pedopo', 'bagus', 'madi', 'pintu', 'sumber', 'awet', 'muda', 'buka', 'sumber', 'rejeki', 'buka', 'pangkat']
Positif;['libur', 'wawas', 'kunjung', 'seni', 'budaya', 'purbakala', 'jaman', 'raja', 'masa']
Positif;['senang', 'tambah', 'tahu', 'guidenya', 'ramah', 'tiket', 'masuk', 'rp']
Netral;['satu', 'kraton', 'jawa', 'timur']
Positif;['museum', 'keraton', 'agung', 'sumenep', 'mantap', 'pandu', 'wisata', 'ramah', 'ramah', 'sukses', 'koordonator', 'museum', 'keraton', 'agung', 'sumenep']
Positif;['bagus', 'sore', 'sepi']
Netral;['salah', 'tinggal', 'jaman', 'raja']
Positif;['bagus', 'sejarah', 'songenepsumenep', 'lahir', 'pemimpinadipati', 'pulau', 'jawa', 'bersih', 'indah', 'jaga']
Positif;['salah', 'keraton', 'madih', 'diri', 'lengkap', 'jawa', 'timur', 'luas', 'bersih', 'tarik', 'tinggal', 'budaya', 'sayang', 'kunjung', 'keraton', 'tutup', 'wabah', 'covid']
Positif;['kunjung', 'masjid', 'coba', 'keliling', 'amat', 'sudutnyaada', 'penggal', 'sejarah', 'islam', 'madura', 'situ']
Positif;['sejarah', 'kota', 'sumenep', 'ceritanyasayang', 'barang', 'sejarah', 'raib', 'mana']
Positif;['lihat', 'foto', 'moga', 'kesumenep', 'barang', 'kali', 'minat', 'pintu', 'ukir', 'cek', 'kami']
Positif;['koleksi', 'ajar', 'sejarah', 'sejarah', 'kota', 'sumenep', 'kesini']
Positif;['adem', 'kemarin', 'anak', 'anak', 'latsarnas']
Positif;['guide', 'cekep', 'ramah', 'wkwkwkwktapi', 'sayang', 'nama', 'kajuh', 'lakek', 'hilang', 'ambil', 'orang', 'tanggung', 'moga', 'buka', 'hati', 'sadar', 'salah']
Positif;['penuh', 'edukasi']
Positif;['benda', 'sejarah']
Positif;['salah', 'keraton', 'sumenep', 'madura', 'jawa', 'timur', 'jaga', 'kelesatariannya', 'generasi', 'milenium', 'tinggal', 'sejarah', 'merdeka']
Positif;['mantap', 'gietnya']
Positif;['sejarah', 'awat']
Positif;['indah', 'penuh', 'sejarah', 'harap', 'jaga', 'bersih', 'sikap']
Positif;['bagus']
Positif;['wajib', 'kunjung', 'sumenep']
Positif;['museum', 'baik', 'madura']
Positif;['museum', 'sejarah', 'raja', 'sumenep', 'tinggal']
Positif;['lengkap', 'transfer', 'isi', 'pulsa', 'aksesoris', 'hp', 'bayar']
Positif;['tingkat', 'jaga', 'pusat', 'budaya', 'sejarah', 'keraton', 'sumenep']
Positif;['kenal', 'sejarah', 'kota', 'sumenep']
Positif;['penuh', 'kenangansy', 'sempat', 'sholat', 'zhuhur', 'dalam', 'kamar', 'rajaluar']
Positif;['bagus', 'sejarah', 'milik', 'koleksi']
Negatif;['sayang', 'buka', 'masa', 'pandemi']
Positif;['arsitektur', 'indah', 'ujung', 'timur', 'pulau', 'madura']
Positif;['kraton', 'asri', 'senang']
Positif;['pariwisata', 'bas', 'history', 'keren']
Positif;['edukasi', 'ajar', 'sejarah', 'sumenep']
Negatif;['oke', 'cinta', 'tanah', 'air', 'indonesia']
Positif;['tahu', 'media', 'lengkap', 'sejarah', 'keraton', 'sumenep']
Positif;['tarik', 'wisata', 'sejarah', 'wisata', 'religi', 'spa']
Positif;['ajar', 'sejarah', 'lampau', 'tinggal', 'pamer']
Positif;['sejarah', 'banget']
Positif;['ajar', 'budaya', 'kraton', 'cocok', 'kunjung', 'keluarga']
Positif;['wisata', 'budaya', 'wajib', 'kunjung', 'madura']
Positif;['ajar', 'sejarah', 'sumenep', 'indah', 'alam']
Positif;['tinggal', 'raja', 'tanah', 'madura', 'ujung', 'timur']
Positif;['recomended', 'datang', 'guide', 'koepratif']
Positif;['muanteb', 'ngopi', 'pinggir', 'jalan', 'angkring']
Positif;['sejarah', 'sumenep']
Positif;['penuh', 'sejarah']
Positif;['ajar', 'sejarah', 'bosan']
Positif;['sejarah', 'patut', 'pelihara']
Positif;['bagus']
Positif;['taman', 'adipura', 'masjid', 'jamik', 'kota', 'sumenep']
Positif;['apik']
Positif;['sejarah', 'kabupaten', 'sumenep']
Positif;['kerreennn', 'wisata', 'tinggal', 'raja', 'kuno', 'kota', 'sumenep']
Positif;['tempat', 'oke', 'sejarah', 'kental']
Positif;['sejarah', 'madura', 'shususnya', 'sumenep']
Positif;['mesjid', 'indah', 'tinggal', 'keraton', 'sumenep']
Positif;['bagus', 'ajar', 'budaya']
Positif;['tarik', 'kunjung']
Positif;['sip', 'enak', 'makananya']
Positif;['sejarah']
Positif;['musium', 'keraton', 'sumenep', 'madura', 'penuh', 'sejarah']
Positif;['bagus', 'pariwisata']
Positif;['sejarah']
Positif;['asiikkk', 'edukasi', 'sejarah', 'sumenep']
Positif;['bersih', 'orang', 'wisata']
Positif;['museum', 'keraton', 'sumenep', 'penuh', 'sejarah']
Positif;['sejarah']
Positif;['suka']
Positif;['rumah']
Netral;['transaksi', 'mbl', 'gren', 'livina', 'brooo']
Netral;['lahir', 'orang', 'tua']
Positif;['ajar', 'sejarah']
Positif;['bagus', 'keren']
Positif;['wisata', 'tradisional']
Positif;['bagus', 'rindang']
Negatif;['koleksi']
Positif;['tempat', 'adem']
Positif;['bagussssindah']
Positif;['tinggal', 'sejarah', 'sumenep']
Positif;['kondisi', 'bersih', 'asri']
Positif;['wajib', 'dikunjugi']
Positif;['bagus', 'legend']
Positif;['bagus', 'rekomended']
Netral;['assalamualaikum', 'wr', 'wb']
Negatif;['kotor']
Positif;['benda', 'pusaka', 'keraton', 'sumenep']
Positif;['tinggal', 'raja', 'kraton', 'sumenep']
Positif;['keren']
Positif;['bagus']
Netral;['bengkel', 'faforit']
Positif;['keren']
Netral;['pengin']
Positif;['bagus']
Positif;['mantull']
Positif;['bagus']
Positif;['good']
Positif;['batik', 'kunjung']
Positif;['sejarah']
Positif;['mantap']
Positif;['sejarah', 'sumenep']
Positif;['sip']
Positif;['unjung', 'kraton', 'sumenep']
Positif;['kesan']
Positif;['sempurnaaa']
Netral;['cicip', 'kuliner', 'asli']
Positif;['sopir', 'ramah', 'men']
Positif;['sejarah', 'raja', 'sumenep', 'soengenep']
Positif;['salah', 'museum', 'sejarah', 'patut', 'kunjung', 'tinggal', 'madura', 'satusatunya', 'raja', 'jawa', 'timur', 'benarbenar', 'pesona', 'kisah', 'mantan', 'pimpin', 'sumenep', 'kenal', 'nama', 'bindara', 'saod', 'pandu', 'milik', 'selera']
Positif;['makam', 'raja', 'sumenep', 'lestari', 'anak', 'bangs']
Positif;['bagus', 'ajar', 'budaya', 'madura', 'pandu', 'lokal', 'hebat']
Positif;['tinggal', 'sejarah', 'kunjung']
Positif;['dingin', 'sunyi']
Netral;['tutupini', 'pandemi', 'waspada']
Positif;['bagus', 'kota', 'jiwa']
Positif;['suasana', 'sejuk', 'asri']
Negatif;['misterius']
Positif;['cantik', 'keren']
Positif;['penuh', 'sejarah']
Positif;['kuno', 'keren']
Positif;['kenang']
Positif;['mantaaaab']
Positif;['museum']
Positif;['bagus']
Positif;['bagus']
Netral;['wanita']
Positif;['cinta']
Positif;['sejarah', 'lu']
Positif;['waris']
Positif;['waris']
Positif;['guide', 'rangkap', 'jaga', 'loket', 'kadang', 'tinggal', 'beli', 'tiket', 'awat', 'area', 'pusaka', 'guide', 'sempat', 'kunjung', 'lestari', 'erti', 'budaya', 'raja', 'sumenep']
Positif;['bagus', 'guidenya', 'informasi', 'sambut', 'gamelan', 'musik', 'tradisional', 'keren', 'kenal', 'sejarah', 'pulau', 'madura', 'an', 'masehi']
Positif;['museum', 'sumenep', 'destinasi', 'wisata', 'recomendasikan', 'kunjung', 'wisata', 'kota', 'sumenep']
Positif;['peduli', 'sejarah']
Positif;['alam', 'kesan', 'raja', 'sumenep', 'sejarah', 'diri', 'sumenep']
Positif;['djlu', 'main', 'sekolah', 'barang', 'sejarah', 'bersih']
Positif;['senang', 'tambah', 'wawas', 'ilmu', 'tahu', 'sejarah', 'keraton', 'sumenep']
Positif;['keren', 'banget', 'jaga', 'bangun', 'taman', 'sari']
Positif;['manfaat', 'tambah', 'wawas', 'tinggal', 'sejarah', 'madura']
Positif;['bagus', 'bersih']
Positif;['mantap']
Positif;['keren']
Positif;['mantab']
Positif;['napak', 'tilas']
Positif;['indah', 'sejarah']
Positif;['bagus', 'kota']
Positif;['b', 'agus']
Positif;['pulau', 'madura', 'posisi', 'geografis', 'laut', 'jawa', 'buat', 'milik', 'obyek', 'wisata', 'pantai', 'pantai', 'wajib', 'kunjung', 'pergi', 'madura']
Positif;['museum', 'mana', 'pusaka', 'kereta', 'kencana', 'tinggal', 'raja', 'jaman', 'letak', 'lingkung', 'keraton', 'sumenep']
Netral;['kunjung', 'kemari', 'unuuk', 'kali', 'keluarga', 'antar', 'bulek', 'ngunduh', 'mantu', 'barang', 'tinggal', 'museum', 'awat']
Positif;['alhamdulillah', 'dalam', 'museum', 'kitab', 'alquran', 'raksasa', 'suasana', 'sejuk', 'pandu', 'wisata', 'ramah', 'bangga', 'warga', 'negara', 'indonesia']
Positif;['kagum', 'bangga', 'tinggi', 'budaya', 'koleksi', 'langka', 'bagus', 'awat', 'jadi', 'betah', 'berlamalama', 'tinggal', 'amat']
Positif;['madura', 'salah', 'pulau', 'jawa', 'timur', 'pulau', 'diam', 'raja', 'tinggal', 'raja', 'sumenep', 'keraton', 'sumenep', 'salah', 'destinasi', 'wisata', 'budaya', 'madura', 'traveller']
Positif;['bangun', 'milik', 'konsep', 'arsitektural', 'jawa', 'eropa', 'tiongkok', 'suguh', 'pandang', 'pintu', 'gapura', 'labeng', 'mesem', 'tamu', 'khusus', 'masuk', 'bangun', 'keraton', 'museum', 'koning', 'simpan']
Positif;['jelas', 'musim', 'guide', 'jelasada', 'produk', 'cantik', 'keraton', 'jual', 'saran', 'souvernir', 'buku', 'sejarah', 'keraton', 'jual']
Positif;['suka', 'sejarah', 'senang', 'tempat', 'awat', 'tugas', 'ramah', 'apik', 'sejarah', 'tiket', 'masuk', 'bersahabatselain', 'tinggal', 'sejarah', 'jaman', 'raja', 'sana', 'kerangka', 'ikan', 'paus']
Positif;['rapi', 'bersih', 'layan', 'jaga', 'ramah', 'papar', 'sejarah', 'kraton', 'alat', 'ambar', 'sejarah', 'kota', 'sumenep']
Positif;['sejarah', 'mana', 'tinggal', 'sejarah', 'budaya', 'raja', 'madura', 'al', 'quran', 'berat', 'ton']
Positif;['penuh', 'informasi', 'sejarah', 'suasana', 'senang', 'bersih', 'awat', 'tugas', 'ramah', 'kerasan', 'berlamalama']
Positif;['salah', 'jejak', 'sejarah', 'nusantara', 'sisa', 'keraton', 'jaga', 'asli', 'simpan', 'kisah', 'ajak', 'anak', 'saudara', 'teman', 'tempat', 'kenal', 'lestari', 'budaya', 'nusantara', 'cinta']
Positif;['kuliah', 'renivasi', 'selesai', 'masuk', 'tetap', 'ganggu', 'renovasi', 'jalan']
Positif;['lumayan', 'bagus', 'nyaman', 'layan', 'moga', 'guide', 'indak', 'cepat', 'pengin', 'pindah']
Positif;['kraton', 'satu', 'dijawa', 'timur', 'letak', 'timur', 'pulau', 'madura', 'kota', 'sumenep', 'buka', 'jam', 'kunjung', 'jam', 'pagi', 'jam', 'sore', 'tinggal', 'sejarah', 'diri', 'raja', 'sumenep']
Positif;['satusatunya', 'keraton', 'diri', 'kokoh', 'pulau', 'madura', 'bangun', 'pendopo', 'aktif', 'diginakan', 'andai', 'kabupaten', 'milik', 'bangun', 'keraton', 'tinggal', 'sejarah', 'raja', 'masingmasing']
Positif;['tempat', 'asri', 'duduk', 'sumenep', 'ramah', 'guidenya', 'antar', 'minggu', 'ramai']
Positif;['salah', 'sejarah', 'sumenep', 'bagus', 'bersih', 'awat', 'wisata', 'ajar', 'sejarah', 'sumenep', 'barang', 'barang', 'tinggal', 'keraton', 'sumenep']
Positif;['bagus', 'kenal', 'sejarah', 'adab', 'islam', 'madura', 'sumenep']
Positif;['museum', 'bagus', 'jaga', 'lestari', 'pandu', 'cerita', 'museum', 'keratin']
Negatif;['cuman', 'foto', 'cermin', 'museum', 'jam', 'pintu', 'museum', 'kunci', 'tugas', 'gilir', 'pintu', 'karcis', 'buka', 'rugi', 'kesana']
Positif;['keraton', 'sumenep', 'salah', 'destinasi', 'wisata', 'wajib', 'kunjung', 'sumenepmadura', 'nilai', 'historis', 'bilai', 'edukasi', 'tiket', 'masuk']
Positif;['tinggal', 'sejarah', 'bagus', 'lestari']
Positif;['tiket', 'masuk', 'murah', 'banget', 'tugas', 'ramah']
Positif;['keraton', 'madura', 'sejarah']
Positif;['tinggal', 'patut', 'ajar']
Positif;['nyaman', 'santa', 'suasana', 'sejukk']
Negatif;['benda', 'awat', 'bersih', 'terkadang', 'unjung', 'tani', 'gaet', 'bingung', 'mana']
Positif;['bagus', 'sejarah', 'raja', 'tempoe']
Netral;['sayang', 'lamalama', 'pulang']
Netral;['observasi', 'osis', 'raudlatul', 'ulum', 'pordapor', 'guluk', 'sumenep']
Positif;['tinggal', 'sejarah', 'lestari', 'jaman', 'kalah', 'populer', 'mall', 'wisata', 'modern', 'megah', 'tinggal', 'sejarah', 'saksi', 'hidup', 'satu', 'suku', 'agama', 'negeri', 'kuat']
Positif;['salah', 'cagar', 'budaya', 'kab', 'sumenep', 'awat', 'dinas', 'budaya', 'parawisata', 'kab', 'sumenep']
Positif;['benda', 'sejarah', 'awat', 'bagus', 'anak', 'anak', 'ajak', 'kesana', 'jadi', 'ajar', 'sejarah', 'kota', 'sumenep', 'rugi', 'sumenep', 'mampir', 'museum']
Netral;['cuci', 'bersih', 'gratis', 'minumancamilan']
Positif;['museum', 'berkalikali', 'kunjung', 'kali', 'niat', 'lupa', 'mesti', 'dihapal', 'ajar', 'benarbenar', 'media', 'seru', 'ajar', 'tiket']
Positif;['museum', 'simpan', 'benda', 'benda', 'sejarah', 'kabupaten', 'sumenep', 'raja', 'benda', 'cerita', 'sejarah', 'museum', 'area', 'luas', 'guide', 'kuasa', 'sejarah', 'sampai', 'terima', 'kasih', 'dinas', 'pariwisata', 'kab', 'sumenep', 'fasilitas']
Netral;['keraton', 'sumenep', 'diam', 'resmi', 'adipatirajaraja', 'jalan', 'roda', 'perintah', 'raja', 'sumenep', 'bilang', 'sifat', 'raja', 'tingkat', 'kadipaten']
Netral;['keraton', 'sumenep', 'diam', 'resmi', 'rajaraja', 'sumenep', 'roda', 'perintah', 'jalan', 'keraton', 'simpan', 'ratus', 'koleksikoleksi', 'sejarah', 'simpan', 'rapi', 'awat', 'diam']
Positif;['museum', 'bagus', 'kunjung', 'wisata', 'benda', 'kuno', 'asli', 'sumenep', 'senjata', 'masuk', 'museum', 'kereta', 'cermin', 'hawa', 'mistis']
Positif;['bagus', 'museum', 'jaga', 'moga', 'unjung', 'urus', 'menghrgai', 'menjga', 'peninggaln', 'sejarah']
Netral;['salah', 'situs', 'budaya', 'tinggal', 'kraton', 'sumenepyaitu', 'taman', 'sare', 'mana', 'mandi', 'putri', 'raja', 'mitos', 'basuh', 'muka', 'air', 'kolam', 'awet', 'mudadan']
Netral;['tanggal', 'juli', 'sahabat', 'sdn', 'wonokusumo', 'iv', 'surabaya', 'kali', 'kunjung', 'museum', 'kraton', 'sumenep', 'tanggal', 'november', 'ikut', 'apel', 'akbar', 'hut', 'pgri', 'jawa', 'timur', 'stadion', 'ayan', 'teman', 'ks', 'kec', 'kenjeran']
Negatif;['suasana', 'tarik', 'wisata', 'didik', 'damping', 'keliling', 'cerita', 'toilet', 'bersih', 'sekitar', 'sampah', 'pohon']
Positif;['situs', 'sejarah', 'simpan', 'rapi', 'jaga', 'contoh', 'kasur', 'raja', 'kolam', 'potre', 'koneng', 'labang', 'mesem', 'dll', 'moga', 'lanjut']
Netral;['kunjung', 'libur', 'kerolaton', 'tutup', 'pegawai', 'mengijinkan', 'masuk', 'arah', 'sebentar', 'keraton', 'bangun', 'arsitektur', 'gabung', 'jawa']
Positif;['museum', 'tua', 'pulau', 'madura', 'zaman', 'adab', 'agama', 'islam', 'sebar', 'madura', 'hubung', 'dengar', 'sebar', 'agama', 'islam', 'pulau', 'jawa', 'kerajaaan', 'islam', 'pulau', 'jawa']
Positif;['wow', 'tinggal', 'sejarah', 'keraton', 'sumenep']
Positif;['sejarah', 'serta', 'keraton', 'kota', 'sumenep', 'pulau', 'madura', 'luas', 'asri', 'pohon', 'beringin', 'rindang', 'kompleks', 'keraton', 'bersih', 'awat']
Positif;['letak', 'tengah', 'kota', 'sumenep', 'madura', 'jawa', 'timur', 'wisata', 'edukasi', 'anak', 'keluh', 'museum', 'sejarah', 'raja', 'pustaka']
Positif;['suka', 'haritage', 'raja', 'suasana', 'tenang', 'bersih', 'awat', 'museum', 'pendopo', 'agung', 'keputren', 'sumenep', 'wajib', 'kraton', 'sumenep']
Positif;['destinasi', 'wisata', 'sejarah', 'sumenep', 'tempat', 'luas', 'bersih', 'ziarah', 'wisatawan', 'kota', 'kunjung']
Positif;['istana', 'keraton', 'sumenep', 'keraton', 'daftar', 'museum', 'istana', 'bangun', 'perintah', 'tumengung', 'arya', 'nata', 'sumo', 'i', 'gerbang', 'pendopo', 'istana', 'istana', 'tua', 'taman', 'sare', 'gerbang']
Netral;['sejarah', 'keraton', 'madura', 'keraton', 'sumenep', 'representatif', 'sejarah', 'keraton', 'sejarah', 'raja', 'indonesia', 'recommended', 'deh', 'pokok']
Positif;['tempat', 'letak', 'belah', 'timur', 'taman', 'adipura', 'sumenep', 'pusaka', 'tidur', 'kereta', 'kencana', 'tinggal', 'raja']
Positif;['indah', 'pesona', 'liat', 'megah', 'lbhang', 'mesen', 'ointu', 'masuk', 'kebkeratom', 'sumenep', 'bravo', 'sumekar']
Positif;['moga', 'tinggal', 'awat', 'anak', 'cucu', 'nikmat', 'harga', 'juang', 'lampau']
Positif;['tambah', 'tahu', 'sejarah', 'bentuk', 'raja', 'majapahit', 'keraton', 'sumenep']
Negatif;['tempat', 'asyik', 'ajar', 'sejarah', 'sumenep', 'sayang', 'media', 'edukasi', 'maksimal', 'awat']
Positif;['bagus', 'sejuk', 'suasana']
Positif;['musium', 'keraton', 'simpan', 'tinggal', 'tempo', 'manfaat', 'unt', 'tahu', 'tambah', 'tahu']
Positif;['museum', 'tinggal', 'raja', 'sumenep', 'kereta', 'kencana', 'lainlain']
Positif;['sejarah', 'raja', 'sumenep', 'era', 'jajah', 'belanda', 'bukti', 'kejayan', 'budaya', 'madura', 'lestari', 'oke', 'banget']
Positif;['bagus', 'santai', 'libur']
Positif;['isi', 'dalam', 'tarik', 'kandung', 'nilai', 'budaya', 'ciri', 'khas', 'kota']
Positif;['silsilah', 'raja', 'bupati', 'tera', 'musium', 'tambah', 'sejarah', 'kembang', 'madura']
Positif;['salah', 'museum', 'kota', 'tinggal', 'keraton', 'sumenep', 'awat']
Positif;['keraton', 'sumenep', 'bangga', 'masyarakat', 'madura', 'salah', 'raja', 'jalan', 'sejarah', 'raja', 'mojopahit', 'lestari', 'sejajar', 'keraton', 'jawa', 'kasepuhan', 'kanoman', 'cirebon', 'kasultanan', 'solo', 'yogya']
Positif;['tempat', 'strategis', 'mudah', 'jangkaudan', 'tinggal', 'sejarah', 'konu']
Positif;['kenal', 'ajar', 'sejarah', 'keraton', 'sumenep', 'sisa', 'benda', 'banguna', 'kokoh', 'diri']
Positif;['ajar', 'sejarah']
Positif;['bagus', 'banget', 'batagor', 'pintu', 'masuk', 'rekomended', 'masjid', 'agung', 'sumpenep', 'instagramable', 'banget']
Positif;['satu', 'keraton', 'pelihara', 'kontribusi', 'nilai', 'budaya', 'nusantara']
Positif;['penuh', 'sejarah']
Positif;['simpan', 'sisa', 'sisa', 'sejarah', 'tambah', 'ilmu', 'paham', 'cerita', 'rakyat', 'madura']
Positif;['bagus', 'anak', 'main']
Positif;['suka', 'tempat', 'adem']
Netral;['museum', 'raja', 'sumenep', 'madura']
Positif;['masjid', 'nyaman', 'nemu', 'masjid', 'air', 'dingin', 'pulau', 'madura']
Netral;['keraton', 'sumenep', 'sisa', 'tinggal', 'sejarah', 'raja', 'budaya', 'adat', 'istiadat', 'raja', 'sistem', 'intan', 'raja']
Positif;['bagus', 'sejarah', 'kraton', 'sumenep', 'jaman']
Positif;['sejarah', 'pandu', 'bangun', 'isi']
Positif;['bersih', 'tugas', 'jaga', 'ramah', 'sedia', 'wawancara', 'butuh']
Positif;['museum', 'jaga', 'rawat', 'bagus', 'edukasi', 'anak']
Positif;['bagus', 'alami', 'koleksi', 'situssitusnya', 'awat']
Positif;['bagus', 'awat', 'lestari']
Positif;['cagar', 'budaya', 'awat', 'simpan', 'sisa', 'jaya', 'keraton', 'sumenep', 'lokasi', 'sumenep', 'madura']
Positif;['koleksi']
Positif;['museum', 'raja', 'raja', 'keraton', 'sumenep', 'jaman', 'jaga', 'ada']
Positif;['tempat', 'sejuk', 'tambah', 'wawas', 'sejarah', 'raja', 'sumenep']
Positif;['sejarah', 'jaga', 'lestari']
Positif;['salah', 'raja', 'ujung', 'timur', 'pulau', 'madura', 'ukir', 'sejarah', 'iring', 'jalan', 'sejarah', 'raja', 'mojopahit', 'keraton', 'monumen', 'sejarah', 'bangga', 'masyarakat', 'madura']
Positif;['enak', 'nikmat', 'kunjung']
